,English,English_human
1872,knowledge graph,knowledge graph
1873,knowledge graph completion,knowledge graph completion
1874,knowledge representation,knowledge representation
1875,knowledge transfer,knowledge transfer
1876,l 1 -norm,L 1 -norm
1877,l 1 distance,L 1 distance
1878,l 2 -norm,L 2 -norm
1879,l 2 distance,L 2 distance
1880,l 2 loss,L 2 loss
1881,l 2 regularization,L 2 regularization
1882,l ∞ norm,L ∞ norm
1883,l1 difference,L1 difference
1884,l1 loss,L1 loss
1885,l1 penalty,L1 penalty
1886,l1 regularization,L1 regularization
1887,l1 term,L1 term
1888,l2 error,L2 error
1889,l2 regularisation,L2 regularisation
1890,l2 regularizer,L2 regularizer
1891,l2 weight decay,L2 weight decay
1892,l2-normalization,L2-normalization
1893,label,label
1894,label distribution,label distribution
1895,label embedding,label embedding
1896,label noise,label noise
1897,label sequence,label sequence
1898,label smoothing,label smoothing
1899,label space,label space
1900,label token,label token
1901,label vector,label vector
1902,lagrange multiplier,Lagrange multiplier
1903,lagrangian duality,Lagrangian duality
1904,lagrangian multiplier,Lagrangian multiplier
1905,lagrangian relaxation,Lagrangian relaxation
1906,lambda calculus,lambda calculus
1907,lambertian reflectance,Lambertian reflectance
1908,landmark,landmark
1909,landmark point,landmark point
1910,language drift,language drift
1911,language encoder,language encoder
1912,language generation,language generation
1913,language generation model,language generation model
1914,language identification,language identification
1915,language model,language model
1916,language model pre-training,language model pre-training
1917,language modeling toolkit,Language Modeling Toolkit
1918,language pair,language pair
1919,language representation,language representation
1920,language transfer,language transfer
1921,language understanding,language understanding
1922,laplace approximation,Laplace approximation
1923,laplace distribution,Laplace distribution
1924,laplace noise,Laplace noise
1925,laplacian distribution,Laplacian distribution
1926,laplacian matrix,Laplacian matrix
1927,laplacian smoothing,Laplacian smoothing
1928,large language model,large language model
1929,large-margin learning,large-margin learning
1930,latent code,latent code
1931,latent dimension,latent dimension
1932,latent dirichlet allocation,latent Dirichlet allocation
1933,latent distribution,latent distribution
1934,latent dynamic model,latent dynamic model
1935,latent embedding,latent embedding
1936,latent factor,latent factor
1937,latent feature,latent feature
1938,latent function,latent function
1939,latent group,latent group
1940,latent parameter,latent parameter
1941,latent representation,latent representation
1942,latent reward function,latent reward function
1943,latent semantic,latent semantic
1944,latent semantic analysis,latent semantic analysis
1945,latent space,latent space
1946,latent state,latent state
1947,latent topic,latent topic
1948,latent variable,latent variable
1949,latent variable model,latent variable model
1950,latent vector,latent vector
1951,layer,layer
1952,layer activation,layer activation
1953,layer normalization,layer normalization
1954,layer-wise learning rate decay,layer-wise learning rate decay
1955,lazy grounding,lazy grounding
1956,leaf node,leaf node
1957,learnability,learnability
1958,learnable parameter,learnable parameter
1959,learnable vector,learnable vector
1960,learner,learner
1961,learning rate,learning rate
1962,learning rate decay,learning rate decay
1963,learning rate decay schedule,learning rate decay schedule
1964,learning rate schedule,learning rate schedule
1965,learning rate scheduler,learning rate scheduler
1966,learning rate warmup,learning rate warmup
1967,least square,least square
1968,least square criterion,least square criterion
1969,least square minimization,least square minimization
1970,least square problem,least square problem
1971,least square regression,least square regression
1972,least square solution,least square solution
1973,leave-one-out,leave-one-out
1974,left-to-right model,left-to-right model
1975,lemmatization,lemmatization
1976,length normalization,length normalization
1977,length penalty,length penalty
1978,lexeme,lexeme
1979,lexical acquisition,lexical acquisition
1980,lexical acquisition algorithm,lexical acquisition algorithm
1981,lexical ambiguity,lexical ambiguity
1982,lexical entry,lexical entry
1983,lexical exposure,lexical exposure
1984,lexical feature,lexical feature
1985,lexical functional grammar,Lexical Functional Grammar
1986,lexical head,lexical head
1987,lexical item,lexical item
1988,lexical knowledge,lexical knowledge
1989,lexical model,lexical model
1990,lexical overlap,lexical overlap
1991,lexicalization,lexicalization
1992,lexicalized grammar,lexicalized grammar
1993,lexicalized parsing model,lexicalized parsing model
1994,lexicon,lexicon
1995,lexicon induction,lexicon induction
1996,lie algebra,Lie algebra
1997,lifelong learning,lifelong learning
1998,light field,light field
1999,light field interpolation,light field interpolation
2000,likelihood function,likelihood function
2001,likelihood ratio test,likelihood ratio test
2002,likelihood score,likelihood score
2003,likert scale,Likert scale
2004,line search,line search
2005,linear activation function,linear activation function
2006,linear algebra,linear algebra
2007,linear classification,linear classification
2008,linear classification layer,linear classification layer
2009,linear classifier,linear classifier
2010,linear combination,linear combination
2011,linear complexity,linear complexity
2012,linear constraint,linear constraint
2013,linear decay,linear decay
2014,linear decoder,linear decoder
2015,linear discriminant analysis,linear discriminant analysis
2016,linear equation,linear equation
2017,linear evaluation,linear evaluation
2018,linear function,linear function
2019,linear function approximation,linear function approximation
2020,linear inequality,linear inequality
2021,linear interpolation,linear interpolation
2022,linear kernel,linear kernel
2023,linear layer,linear layer
2024,linear learning rate decay,linear learning rate decay
2025,linear learning rate schedule,linear learning rate schedule
2026,linear map,linear map
2027,linear model,linear model
2028,linear predictor,linear predictor
2029,linear probe,linear probe
2030,linear program,linear program
2031,linear programming relaxation,linear programming relaxation
2032,linear projection,linear projection
2033,linear regression,linear regression
2034,linear regression model,linear regression model
2035,linear regressor,linear regressor
2036,linear scaling,linear scaling
2037,linear scheduler,linear scheduler
2038,linear separability,linear separability
2039,linear system,linear system
2040,linear threshold,Linear Threshold
2041,linear threshold model,Linear Threshold Model
2042,linear transform,linear transform
2043,linear transformation,linear transformation
2044,linear transformation matrix,linear transformation matrix
2045,linear warm-up,linear warm-up
2046,linear-chain,linear-chain
2047,linear-quadratic regulator,linear-quadratic regulator
2048,linearization,linearization
2049,link function,link function
2050,link prediction,link prediction
2051,local basis function,local basis function
2052,local coherence,local coherence
2053,local consistency,Local Consistency
2054,local context,local context
2055,local coordinate frame,local coordinate frame
2056,local feature,local feature
2057,local geometry,local geometry
2058,local image feature,local image feature
2059,local maxima,local maxima
2060,local maximum,local maximum
2061,local minima,local minima
2062,local minimizer,local minimizer
2063,local minimum,local minimum
2064,local model,local model
2065,local optima,local optima
2066,local optimum,local optimum
2067,local parameter,local parameter
2068,local search,local search
2069,local search method,local search method
2070,local variable,local variable
2071,local window,local window
2072,locality-sensitive hashing,locality-sensitive hashing
2073,localization,localization
2074,location parameter,location parameter
2075,log,log
2076,log likelihood,log likelihood
2077,log loss,log loss
2078,log marginal likelihood,log marginal likelihood
2079,log p,log p
2080,log partition function,log partition function
2081,log perplexity,log perplexity
2082,log probability,log probability
2083,log-likelihood function,log-likelihood function
2084,log-likelihood loss,log-likelihood loss
2085,log-likelihood ratio,log-likelihood ratio
2086,log-linear model,log-linear model
2087,log-linear translation model,log-linear translation model
2088,log-log plot,log-log plot
2089,log-normal distribution,log-normal distribution
2090,log-odd score,log-odd score
2091,log-prob,log-prob
2092,log-sum-exp,log-sum-exp
2093,logical connective,logical connective
2094,logical form,logical form
2095,logistic function,logistic function
2096,logistic loss,logistic loss
2097,logistic regression,logistic regression
2098,logistic regression classifier,logistic regression classifier
2099,logistic regression model,logistic regression model
2100,logit,logit
2101,logit model,logit model
2102,long-range dependency,long-range dependency
2103,lookup table,lookup table
2104,loop closure,loop closure
2105,loopy belief propagation,loopy belief propagation
2106,loss,loss
2107,loss distribution,loss distribution
2108,loss function,loss function
2109,loss landscape,loss landscape
2110,loss minimization,loss minimization
2111,loss term,loss term
2112,lossy compression,lossy compression
2113,lottery ticket hypothesis,lottery ticket hypothesis
2114,low rank,low rank
2115,low rank approximation,low rank approximation
2116,low-data regime,low-data regime
2117,low-dimensional embedding,low-dimensional embedding
2118,low-dimensional representation,low-dimensional representation
2119,low-pass filter,low-pass filter
2120,low-rank factorization,low-rank factorization
2121,low-rank matrix approximation,low-rank matrix approximation
2122,m-estimation,M-estimation
2123,m-step,M-step
2124,machine comprehension,Machine Comprehension
2125,machine learning,machine learning
2126,machine learning algorithm,machine learning algorithm
2127,machine learning classifier,machine learning classifier
2128,machine learning model,machine learning model
2129,machine learning repository,Machine Learning Repository
2130,machine learning system,machine learning system
2131,machine reading,machine reading
2132,machine reading comprehension,Machine Reading Comprehension
2133,machine translation,machine translation
2134,machine translation model,machine translation model
2135,machine translation system,machine translation system
2136,machine vision,machine vision
2137,machine-in-the-loop,machine-in-the-loop
2138,macro-action,macro-action
2139,macro-average,macro-average
2140,majority voting,majority voting
2141,manifold,manifold
2142,manifold hypothesis,manifold hypothesis
2143,manifold projection,manifold projection
2144,manifold structure,manifold structure
2145,margin parameter,margin parameter
2146,marginal density,marginal density
2147,marginal distribution,marginal distribution
2148,marginal inference,marginal inference
2149,marginal likelihood,marginal likelihood
2150,marginal log-likelihood,marginal log-likelihood
2151,marginal polytope,marginal polytope
2152,marginal probability,marginal probability
2153,marginalization,marginalization
2154,mask,mask
2155,mask token,mask token
2156,mask vector,mask vector
2157,masked input,masked input
2158,masked language model,masked language model
2159,masked token,masked token
2160,masking function,masking function
2161,matching loss,matching loss
2162,matrix,matrix
2163,matrix approximation,matrix approximation
2164,matrix decomposition,matrix decomposition
2165,matrix factorization,Matrix factorization
2166,matrix form,matrix form
2167,matrix inversion,matrix inversion
2168,matrix multiplication,matrix multiplication
2169,matrix norm,matrix norm
2170,matrix sketching,matrix sketching
2171,matrix vector product,matrix vector product
2172,matrix-vector multiplication,matrix-vector multiplication
2173,matroid,matroid
2174,matroid constraint,matroid constraint
2175,max norm,max norm
2176,max pooling,max pooling
2177,max-margin,max-margin
2178,max-margin learning,max-margin learning
2179,max-pool,max-pool
2180,max-pooling layer,max-pooling layer
2181,max-product semiring,max-product semiring
2182,maximal clique,maximal clique
2183,maximal frequent itemset,maximal frequent itemset
2184,maximal frequent pattern,maximal frequent pattern
2185,maximization problem,maximization problem
2186,maximum a posteriori,maximum a posteriori
2187,maximum a posteriori estimation,maximum a posteriori estimation
2188,maximum clique,maximum clique
2189,maximum entropy,maximum entropy
2190,maximum entropy model,maximum entropy model
2191,maximum entropy principle,maximum entropy principle
2192,maximum flow,maximum flow
2193,maximum likelihood,maximum likelihood
2194,maximum likelihood estimate,maximum likelihood estimate
2195,maximum likelihood estimation,maximum likelihood estimation
2196,maximum likelihood estimator,maximum likelihood estimator
2197,maximum likelihood learning,maximum likelihood learning
2198,maximum mean discrepancy,maximum mean discrepancy
2199,mean average precision,mean average precision
2200,mean field,mean field
2201,mean function,mean function
2202,mean pooling,mean pooling
2203,mean reciprocal rank,mean reciprocal rank
2204,mean shape,mean shape
2205,mean square error,mean square error
2206,mean vector,mean vector
2207,mean-field approximation,mean-field approximation
2208,measurable space,measurable space
2209,measurement matrix,measurement matrix
2210,measurement noise,measurement noise
2211,medical imaging,medical imaging
2212,medoid,medoid
2213,membership inference attack,membership inference attack
2214,membership query,membership query
2215,memory bank,memory bank
2216,memory capacity,memory capacity
2217,memory cell,memory cell
2218,memory complexity,memory complexity
2219,mention detection,mention detection
2220,meronymy,meronymy
2221,message passing,message passing
2222,message passing algorithm,message passing algorithm
2223,meta,meta
2224,meta-algorithm,meta-algorithm
2225,meta-classifier,meta-classifier
2226,meta-dataset,meta-dataset
2227,meta-evaluation,meta-evaluation
2228,meta-learn,meta-learn
2229,meta-learner,meta-learner
2230,meta-learning,meta-learning
2231,meta-loss,meta-loss
2232,meta-parameter,meta-parameter
2233,meta-testing,meta-testing
2234,meta-training,meta-training
2235,metadata,metadata
2236,metric learning,metric learning
2237,metric learning algorithm,metric learning algorithm
2238,metric score,metric score
2239,metric space,metric space
2240,metropolis-hasting,Metropolis-Hasting
2241,micro-average,micro-average
2242,microarray datum,microarray datum
2243,mini-batch,mini-batch
2244,mini-batch size,mini-batch size
2245,mini-batch training,mini-batch training
2246,minima,minima
2247,minimax,minimax
2248,minimax game,minimax game
2249,minimax optimization problem,minimax optimization problem
2250,minimax problem,minimax problem
2251,minimization problem,minimization problem
2252,minimizer,minimizer
2253,minimum baye risk decoding,minimum baye risk decoding
2254,minimum cut,minimum cut
2255,minimum description length,minimum description length
2256,minimum support,minimum support
2257,mirror descent,mirror descent
2258,misclassification error,misclassification error
2259,misclassification loss,misclassification loss
2260,misinformation detection,misinformation detection
2261,mixed integer programming,mixed integer programming
2262,mixed precision,mixed precision
2263,mixed precision training,mixed precision training
2264,mixed strategy,mixed strategy
2265,mixed-integer program,mixed-integer program
2266,mixing matrix,mixing matrix
2267,mixing time,mixing time
2268,mixture component,mixture component
2269,mixture distribution,mixture distribution
2270,mixture model,mixture model
2271,mixture weight,mixture weight
2272,mixup,Mixup
2273,mocap,mocap
2274,modality,modality
2275,mode,mode
2276,mode collapse,mode collapse
2277,model accuracy,model accuracy
2278,model architecture,model architecture
2279,model averaging,model averaging
2280,model bias,model bias
2281,model capacity,model capacity
2282,model card,model card
2283,model checking,model checking
2284,model class,model class
2285,model comparison,model comparison
2286,model complexity,model complexity
2287,model compression,model compression
2288,model convergence,model convergence
2289,model development,model development
2290,model distillation,model distillation
2291,model distribution,model distribution
2292,model estimation,model estimation
2293,model evaluation,model evaluation
2294,model family,model family
2295,model fine-tuning,model fine-tuning
2296,model generalization,model generalization
2297,model hyperparameter,model hyperparameter
2298,model inference,model inference
2299,model initialization,model initialization
2300,model interpretability,model interpretability
2301,model interpretation,model interpretation
2302,model layer,model layer
2303,model m,model M
2304,model output,model output
2305,model parallelism,model parallelism
2306,model parameter,model parameter
2307,model performance,model performance
2308,model precision,model precision
2309,model prediction,model prediction
2310,model predictive control,model predictive control
2311,model representation,model representation
2312,model robustness,model robustness
2313,model score,model score
2314,model selection,model selection
2315,model size,model size
2316,model specification,model specification
2317,model structure,model structure
2318,model training,model training
2319,model update,model update
2320,model variant,model variant
2321,model weight,model weight
2322,model's parameter,model's parameter
2323,model-free approach,model-free approach
2324,modular,modular
2325,modular architecture,modular architecture
2326,module,module
2327,moment matching,moment matching
2328,momentum,momentum
2329,momentum coefficient,momentum coefficient
2330,momentum encoder,momentum encoder
2331,momentum term,momentum term
2332,monocular,monocular
2333,monocular reconstruction,monocular reconstruction
2334,monolingual baseline,monolingual baseline
2335,monolingual corpora,monolingual corpora
2336,monolingual corpus,monolingual corpus
2337,monolingual dataset,monolingual dataset
2338,monolingual datum,monolingual datum
2339,monolingual embedding,monolingual embedding
2340,monolingual model,monolingual model
2341,monolingual training,monolingual training
2342,monotone,monotone
2343,monotonic,monotonic
2344,monotonicity,Monotonicity
2345,morphological analysis,morphological analysis
2346,morphological analyzer,morphological analyzer
2347,morphological feature,morphological feature
2348,morphological information,morphological information
2349,morphological operation,morphological operation
2350,morphological segmentation,morphological segmentation
2351,morphology,morphology
2352,motion analysis,motion analysis
2353,motion estimation,motion estimation
2354,motion matrix,motion matrix
2355,motion planning,motion planning
2356,motion segmentation,motion segmentation
2357,multi-agent,multi-agent
2358,multi-agent interaction,multi-agent interaction
2359,multi-agent learning,multi-agent learning
2360,multi-agent reinforcement learning,multi-agent reinforcement learning
2361,multi-agent system,multi-agent system
2362,multi-armed bandit,multi-armed bandit
2363,multi-armed bandit problem,multi-armed bandit problem
2364,multi-class,multi-class
2365,multi-class classification,multi-class classification
2366,multi-class logistic regression,multi-class logistic regression
2367,multi-class problem,multi-class problem
2368,multi-classification,multi-classification
2369,multi-document summarization,multi-document summarization
2370,multi-domain,multi-domain
2371,multi-head,multi-head
2372,multi-head attention,multi-head attention
2373,multi-head attention layer,multi-head attention layer
2374,multi-head self-attention,multi-head self-attention
2375,multi-head self-attention mechanism,multi-head self-attention mechanism
2376,multi-head self-attention module,multi-head self-attention module
2377,multi-headed self-attention,multi-headed self-attention
2378,multi-label,multi-label
2379,multi-label classification,multi-label classification
2380,multi-label classification loss,multi-label classification loss
2381,multi-label classifier,multi-label classifier
2382,multi-label datum,multi-label datum
2383,multi-label learning,multi-label learning
2384,multi-label text classification,multi-label text classification
2385,multi-layer neural network,multi-layer neural network
2386,multi-layer perceptron,multi-layer perceptron
2387,multi-modal,multi-modal
2388,multi-modal input,multi-modal input
2389,multi-modal learning,multi-modal learning
2390,multi-modal model,multi-modal model
2391,multi-object detection,multi-object detection
2392,multi-objective optimization,multi-objective optimization
2393,multi-scale,multi-scale
2394,multi-scale architecture,multi-scale architecture
2395,multi-scale training,multi-scale training
2396,multi-task,multi-task
2397,multi-task fine-tuning,multi-task fine-tuning
2398,multi-task learning,Multi-Task Learning
2399,multi-task model,multi-task model
2400,multi-task regression,multi-task regression
2401,multi-task setting,multi-task setting
2402,multi-view,multi-view
2403,multi-view datum,multi-view datum
2404,multi-view geometry,multi-view geometry
2405,multi-view learning,multi-view learning
2406,multi-view stereo,multi-view stereo
2407,multi-view system,multi-view system
2408,multiclass classifier,multiclass classifier
2409,multiclass hinge loss,multiclass hinge loss
2410,multiclass model,multiclass model
2411,multiclass object detection,multiclass object detection
2412,multidimensional quality metric,Multidimensional Quality metric
2413,multidimensional scaling,Multidimensional Scaling
2414,multilingual embedding,multilingual embedding
2415,multilingual language model,multilingual language model
2416,multilingual model,multilingual model
2417,multilingual representation,multilingual representation
2418,multilingual training,multilingual training
2419,multilinguality,multilinguality
2420,multimodal task,multimodal task
2421,multinomial distribution,multinomial distribution
2422,multinomial model,multinomial model
2423,multiple kernel learning,multiple kernel learning
2424,multiple linear regression,multiple linear regression
2425,multiscale modeling,multiscale modeling
2426,multiset,multiset
2427,multitask training,multitask training
2428,multivariate,multivariate
2429,multivariate gaussian distribution,multivariate Gaussian distribution
2430,multivariate normal,multivariate normal
2431,multivariate normal distribution,multivariate normal distribution
2432,multivariate time series,multivariate time series
2433,mutex,mutex
2434,mutexe,mutexe
2435,mutual entropy,mutual entropy
2436,n-gram,n-gram
2437,n-gram feature,n-gram feature
2438,n-gram language model,n-gram language model
2439,n-gram model,n-gram model
2440,natural image statistic,natural image statistic
2441,natural language,natural language
2442,natural language generation,natural language generation
2443,natural language inference,Natural Language Inference
2444,natural language processing,natural language processing
2445,natural language query,natural language query
2446,natural language understanding,Natural Language Understanding
2447,natural logic,natural logic
2448,natural logic inference,natural logic inference
2449,natural parameter,natural parameter
2450,natural question,Natural question
2451,near-optimality,near-optimality
2452,nearest neighbor classifier,nearest neighbor classifier
2453,nearest neighbor search,nearest neighbor search
2454,nearest-neighbor algorithm,nearest-neighbor algorithm
2455,negation,negation
2456,negative log-likelihood,negative log-likelihood
2457,negative pair,negative pair
2458,negative sample,negative sample
2459,negative transfer,negative transfer
2460,neighborhood function,neighborhood function
2461,neighborhood system,neighborhood system
2462,net,net
2463,network,network
2464,network architecture,network architecture
2465,network feature,network feature
2466,network parameter,network parameter
2467,network structure,network structure
2468,network topology,network topology
2469,network weight,network weight
2470,neural activity,neural activity
2471,neural approach,neural approach
2472,neural architecture,neural architecture
2473,neural architecture search,neural architecture search
2474,neural embedding,neural embedding
2475,neural generation model,neural generation model
2476,neural implicit representation,neural implicit representation
2477,neural language model,neural language model
2478,neural machine translation,neural machine translation
2479,neural machinery,neural machinery
2480,neural mapping,neural mapping
2481,neural method,neural method
2482,neural model,neural model
2483,neural module,neural module
2484,neural net,neural net
2485,neural network architecture,neural network architecture
2486,neural network classifier,neural network classifier
2487,neural network language model,neural network language model
2488,neural network layer,neural network layer
2489,neural network model,neural network model
2490,neural operator,neural operator
2491,neural parser,neural parser
2492,neural radiance field,Neural Radiance field
2493,neural renderer,neural renderer
2494,neural rendering,neural rendering
2495,neural representation,neural representation
2496,neural retrieval,neural retrieval
2497,neural scaling law,neural scaling law
2498,neural scene representation,neural scene representation
2499,neural sequence model,neural sequence model
2500,neural text generation,neural text generation
2501,neural volume,Neural volume
2502,neural volumetric representation,neural volumetric representation
2503,neural word embedding,neural word embedding
2504,neuro-symbolic system,neuro-symbolic system
2505,neuron,neuron
2506,next sentence prediction,next sentence prediction
2507,next token prediction,next token prediction
2508,nmod,nmod
2509,no-regret algorithm,no-regret algorithm
2510,no-regret dynamic,no-regret dynamic
2511,no-regret learning algorithm,no-regret learning algorithm
2512,node,node
2513,node attribute,node attribute
2514,node classification,node classification
2515,node degree,node degree
2516,node embedding,node embedding
2517,node feature,node feature
2518,node feature matrix,node feature matrix
2519,node label,node label
2520,node representation,node representation
2521,node set,node set
2522,node-disjoint path,node-disjoint path
2523,noise distribution,noise distribution
2524,noise level,noise level
2525,noise model,noise model
2526,noise schedule,noise schedule
2527,noise-contrastive estimation,noise-contrastive estimation
2528,noisy channel,noisy channel
2529,nominal mention,nominal mention
2530,non-convex objective,non-convex objective
2531,non-convex optimization,non-convex optimization
2532,non-convex problem,non-convex problem
2533,non-convexity,non-convexity
2534,non-euclidean space,non-Euclidean space
2535,non-linear least square,non-linear least square
2536,non-linear optimization,non-linear optimization
2537,non-linearity,non-linearity
2538,non-local feature,non-local feature
2539,non-markov process,non-Markov process
2540,non-max suppression,non-max suppression
2541,non-maxima suppression,non-maxima suppression
2542,non-maximal suppression,non-maximal suppression
2543,non-maximum suppression,Non-maximum suppression
2544,non-negative matrix factorization,non-negative matrix factorization
2545,non-parametric setting,non-parametric setting
2546,non-projective parsing,non-projective parsing
2547,non-submodular energy,non-submodular energy
2548,non-tree model,non-tree model
2549,nonconvex function,nonconvex function
2550,nonlinear optimisation,nonlinear optimisation
2551,nonmonotonic reasoning,nonmonotonic reasoning
2552,nonterminal symbol,nonterminal symbol
2553,norm,norm
2554,normal,normal
2555,normal distribution,normal distribution
2556,normal form,normal form
2557,normal vector,normal vector
2558,normal-form game,normal-form game
2559,normalisation,normalisation
2560,normalization,normalization
2561,normalization constant,normalization constant
2562,normalization factor,normalization factor
2563,normalization function,normalization function
2564,normalization layer,normalization layer
2565,normalization method,normalization method
2566,normalization strategy,normalization strategy
2567,normalize,normalize
2568,noun phrase,noun phrase
2569,novel view synthesis,novel view synthesis
2570,nsubj,nsubj
2571,nsubjpass,nsubjpass
2572,nuclear norm,nuclear norm
2573,nuclear norm relaxation,nuclear norm relaxation
2574,nucleus sampling,Nucleus Sampling
2575,null distribution,null distribution
2576,null space,null space
2577,numerical linear algebra,numerical linear algebra
2578,object bounding box,object bounding box
2579,object categorization,object categorization
2580,object category,object category
2581,object category recognition,object category recognition
2582,object class,object class
2583,object classification,object classification
2584,object detection,object detection
2585,object detector,object detector
2586,object domain,object domain
2587,object embedding,object embedding
2588,object instance segmentation,object instance segmentation
2589,object localization,Object Localization
2590,object model,object model
2591,object proposal,object proposal
2592,object recognition,object recognition
2593,object segmentation,object segmentation
2594,object tracking,object tracking
2595,objective function,objective function
2596,objective value,objective value
2597,objectness,objectness
2598,observation function,observation function
2599,observation model,observation model
2600,observation space,observation space
2601,observational datum,observational datum
2602,occlusion handling,occlusion handling
2603,occlusion reasoning,occlusion reasoning
2604,occupancy grid,occupancy grid
2605,occupancy map,occupancy map
2606,occupancy measure,occupancy measure
2607,odometry,odometry
2608,off-diagonal element,off-diagonal element
2609,off-policy,off-policy
2610,offline algorithm,offline algorithm
2611,offline learning,offline learning
2612,on-policy,on-policy
2613,one-against-all reduction,one-against-all reduction
2614,one-hot representation,one-hot representation
2615,one-hot vector,one-hot vector
2616,one-shot learning,one-shot learning
2617,one-shot setting,one-shot setting
2618,one-stage detector,one-stage detector
2619,one-versus-all,one-versus-all
2620,online algorithm,online algorithm
2621,online convex optimization,online convex optimization
2622,online gradient descent,online gradient descent
2623,online learning,online learning
2624,online learning algorithm,online learning algorithm
2625,online learning method,online learning method
2626,online learning theory,online learning theory
2627,ontology,ontology
2628,ontology language,ontology language
2629,open information extraction,Open Information Extraction
2630,open set,open set
2631,open-ended text generation,open-ended text generation
2632,open-loop,open-loop
2633,operator norm,operator norm
2634,operator sequence,operator sequence
2635,optical character recognition,optical character recognition
2636,optical flow,optical flow
2637,optical flow estimation,optical flow estimation
2638,optimal control theory,optimal control theory
2639,optimal experimental design,optimal experimental design
2640,optimal policy,optimal policy
2641,optimal solution,optimal solution
2642,optimality,optimality
2643,optimality condition,optimality condition
2644,optimisation,optimisation
2645,optimisation problem,optimisation problem
2646,optimiser,optimiser
2647,optimization,optimization
2648,optimization algorithm,optimization algorithm
2649,optimization framework,optimization framework
2650,optimization function,optimization function
2651,optimization method,optimization method
2652,optimization objective,optimization objective
2653,optimization problem,Optimization Problem
2654,optimization procedure,optimization procedure
2655,optimization step,optimization step
2656,optimization theory,optimization theory
2657,optimizer,optimizer
2658,option,option
2659,oracle,oracle
2660,oracle policy,oracle policy
2661,ordinal embedding,ordinal embedding
2662,ordinal regression,ordinal regression
2663,orientation loss,orientation loss
2664,orthogonal basis,orthogonal basis
2665,orthogonal matrix,orthogonal matrix
2666,orthogonal projection matrix,orthogonal projection matrix
2667,orthographic camera model,orthographic camera model
2668,orthographic projection,orthographic projection
2669,orthonormal decomposition,orthonormal decomposition
2670,orthonormal matrix,orthonormal matrix
2671,orthonormal row,orthonormal row
2672,orthonormality,orthonormality
2673,out-of-distribution,out-of-distribution
2674,out-of-domain,out-of-domain
2675,out-of-domain evaluation,out-of-domain evaluation
2676,outlier,outlier
2677,outlier detection,outlier detection
2678,output,output
2679,output gate,output gate
2680,output layer,output layer
2681,output space,output space
2682,output token,output token
2683,output vector,output vector
2684,output vocabulary,output vocabulary
2685,over-segmentation,over-segmentation
2686,paired t-test,paired t-test
2687,pairwise classifier,pairwise classifier
2688,pairwise clique,pairwise clique
2689,pairwise comparison,pairwise comparison
2690,pairwise constraint,pairwise constraint
2691,pairwise flow,pairwise flow
2692,pairwise learning,pairwise learning
2693,pairwise potential,pairwise potential
2694,pairwise word similarity,pairwise word similarity
2695,panoptic segmentation,panoptic segmentation
2696,parallel corpora,parallel corpora
2697,parallel corpus,parallel corpus
2698,parallel datum,parallel datum
2699,parameter count,parameter count
2700,parameter estimation,parameter estimation
2701,parameter learning,parameter learning
2702,parameter matrix,parameter matrix
2703,parameter model,parameter model
2704,parameter regularization,parameter regularization
2705,parameter sharing,parameter sharing
2706,parameter size,parameter size
2707,parameter space,parameter space
2708,parameter tuning,parameter tuning
2709,parameter tying,parameter tying
2710,parameter update,parameter update
2711,parameter vector,parameter vector
2712,parameter-efficient fine-tuning,parameter-efficient fine-tuning
2713,parameterisation,parameterisation
2714,parameterization,parameterization
2715,parametric,parametric
2716,parametric family,parametric family
2717,parametric knowledge,parametric knowledge
2718,parametric model,parametric model
2719,parametrization,parametrization
2720,paraphrase,paraphrase
2721,paraphrase generation,paraphrase generation
2722,paraphrase generator,paraphrase generator
2723,paraphrase identification,paraphrase identification
2724,paraphrase model,paraphrase model
2725,parent node,parent node
2726,pareto optimal,Pareto optimal
2727,pareto optimality,Pareto optimality
2728,pareto-efficient,Pareto-efficient
2729,parse,parse
2730,parse chart,parse chart
2731,parse forest,parse forest
2732,parse score,parse score
2733,parse structure,parse structure
2734,parse tree,parse tree
2735,parser,parser
2736,part of speech,part of speech
2737,part of speech tag,part of speech tag
2738,part of speech tagger,part of speech tagger
2739,partial assignment,partial assignment
2740,partial derivation,partial derivation
2741,partial evaluation,partial evaluation
2742,partial observability,partial observability
2743,partial order,partial order
2744,particle filter,particle filter
2745,partition,partition
2746,partition function,partition function
2747,parzen window,Parzen window
2748,patch,patch
2749,path integration,path integration
2750,path planning,path planning
2751,pattern profile,pattern profile
2752,pattern recognition,pattern recognition
2753,pattern summarization,pattern summarization
2754,pattern-verbalizer pair,pattern-verbalizer pair
2755,payoff function,payoff function
2756,payoff matrix,payoff matrix
2757,pedestrian detection,pedestrian detection
2758,penalty function,penalty function
2759,penalty parameter,penalty parameter
2760,penalty term,penalty term
2761,per-pixel,per-pixel
2762,perception,perception
2763,perceptron algorithm,perceptron algorithm
2764,perceptual feature,perceptual feature
2765,perceptual loss,perceptual loss
2766,perfect matching,perfect matching
2767,performance difference lemma,performance difference lemma
2768,permutation,permutation
2769,permutation invariance,permutation invariance
2770,permutation matrix,permutation matrix
2771,permutation test,permutation test
2772,permutohedral lattice,permutohedral lattice
2773,perplexity,perplexity
2774,perplexity score,perplexity score
2775,perspective projection,perspective projection
2776,perspective projection matrix,perspective projection matrix
2777,perturbation,perturbation
